iter	Logloss
0	0.6594617291
1	0.634854035
2	0.6063691064
3	0.5716703407
4	0.5439809663
5	0.5119718205
6	0.4826864277
7	0.4606993965
8	0.4396938736
9	0.4216678183
10	0.4051277858
11	0.3873345495
12	0.3705548776
13	0.3539389922
14	0.3398327071
15	0.3275453849
16	0.3144446968
17	0.303043472
18	0.2950228353
19	0.2844225072
20	0.2764930684
21	0.2676365045
22	0.2588878846
23	0.2524554266
24	0.2439348907
25	0.2368730652
26	0.2298865613
27	0.2235495577
28	0.2156371569
29	0.2132360429
30	0.2084771917
31	0.2032448965
32	0.1990009066
33	0.1944281861
34	0.1907456178
35	0.1862182092
36	0.182741332
37	0.1792538941
38	0.1757939784
39	0.1731169758
40	0.1698182619
41	0.166474764
42	0.1632645
43	0.1611441508
44	0.1583553065
45	0.1538165089
46	0.1512276645
47	0.1487062305
48	0.1451972289
49	0.1431254638
50	0.1407359447
51	0.1381426284
52	0.1360474326
53	0.1333280363
54	0.1313975564
55	0.1291531998
56	0.1277636156
57	0.1254957653
58	0.124293388
59	0.1224395879
60	0.1208962028
61	0.1193679104
62	0.1179062807
63	0.1160962675
64	0.1148250165
65	0.1136815939
66	0.1125961743
67	0.111224208
68	0.1110607106
69	0.1099413413
70	0.1093507621
71	0.1079729567
72	0.1070388021
73	0.1069472059
74	0.1058903318
75	0.1049901638
76	0.1043549913
77	0.1031656051
78	0.1025007121
79	0.1013175415
80	0.1005300557
81	0.09997175276
82	0.09948893951
83	0.09872057712
84	0.09755579916
85	0.09722525767
86	0.09714552642
87	0.09662866196
88	0.09608762533
89	0.0954208131
90	0.09508075683
91	0.09473787278
92	0.0939974695
93	0.09297295351
94	0.09203007098
95	0.09194558556
96	0.09189631786
97	0.09129633844
98	0.09070166833
99	0.09015808133
100	0.08971140893
101	0.08847404885
102	0.08795886655
103	0.08738866213
104	0.08706793657
105	0.08636180259
106	0.0862737348
107	0.08624585581
108	0.08560164653
109	0.08550110092
110	0.08542573237
111	0.08492892666
112	0.08425730622
113	0.08363794401
114	0.08269764539
115	0.08223193549
116	0.08162862596
117	0.08064509752
118	0.07989585969
119	0.07963184728
120	0.07890032426
121	0.07833840213
122	0.07779161153
123	0.07771155304
124	0.07718261213
125	0.07679401381
126	0.07653110081
127	0.07598863093
128	0.07537208726
129	0.07453000092
130	0.073850565
131	0.07361129941
132	0.07288927392
133	0.07253104315
134	0.07205997692
135	0.07149555487
136	0.07115381829
137	0.07085997353
138	0.07053087742
139	0.07014213124
140	0.06934249012
141	0.06875139863
142	0.06819946065
143	0.06781591138
144	0.06738819969
145	0.06714060532
146	0.06695722912
147	0.06667362362
148	0.06630286561
149	0.06599115654
150	0.06540778457
151	0.06534276613
152	0.0650608309
153	0.06487811146
154	0.06432363252
155	0.06389662945
156	0.06363396159
157	0.06362042392
158	0.06345561898
159	0.06309774324
160	0.06267301867
161	0.06264382383
162	0.06195147842
163	0.06182340875
164	0.06133536065
165	0.06103738353
166	0.06081853827
167	0.06033468907
168	0.06006884254
169	0.05982633614
170	0.05942202262
171	0.05922809224
172	0.05919398881
173	0.05828742744
174	0.05754657961
175	0.05737715701
176	0.05687834451
177	0.05655000627
178	0.05630909959
179	0.05591577367
180	0.05543484765
181	0.05509381851
182	0.05460043427
183	0.05413491093
184	0.05380277736
185	0.05354773962
186	0.05332107351
187	0.05299202246
188	0.05276542647
189	0.05247675453
190	0.05239097701
191	0.05196683581
192	0.05182206714
193	0.05164638577
194	0.05153383811
195	0.0512867655
196	0.05122879741
197	0.0508170468
198	0.05045046853
199	0.05012503385
200	0.04994078861
201	0.04971151719
202	0.04928331248
203	0.04896881214
204	0.0486840089
205	0.04839994479
206	0.04826172514
207	0.04806097798
208	0.04756977415
209	0.04702543322
210	0.04674923486
211	0.04650466239
212	0.04637122975
213	0.04621972504
214	0.04599087715
215	0.04583531795
216	0.04576550844
217	0.04568360243
218	0.04544092002
219	0.04513211214
220	0.04482075138
221	0.04448563198
222	0.04428183666
223	0.04400196424
224	0.04373492037
225	0.04344390607
226	0.04311774706
227	0.04291610719
228	0.04267256561
229	0.04247969126
230	0.04237619345
231	0.04221972951
232	0.04194612147
233	0.04168375011
234	0.04147326317
235	0.04132077834
236	0.04119061212
237	0.04080391145
238	0.04079343616
239	0.04067727412
240	0.04053379651
241	0.04035857149
242	0.04011038555
243	0.04002352454
244	0.03979493064
245	0.03948478171
246	0.03923949277
247	0.03905669807
248	0.03877037655
249	0.03854238316
250	0.03827746932
251	0.03807017048
252	0.03806305705
253	0.03790547869
254	0.03786161128
255	0.03785483411
256	0.03755673183
257	0.03744062816
258	0.03738378226
259	0.03714418525
260	0.03682777495
261	0.03678801635
262	0.03668389803
263	0.03642642279
264	0.0363041269
265	0.03590716919
266	0.03557162932
267	0.03540171411
268	0.03520520148
269	0.03505189582
270	0.03491338712
271	0.03480332599
272	0.03458532484
273	0.03439407369
274	0.03435332046
275	0.03431455977
276	0.03427061398
277	0.03404853112
278	0.03388712499
279	0.03370531923
280	0.03367951424
281	0.03352017169
282	0.03328678221
283	0.03308211358
284	0.03300908193
285	0.03275424263
286	0.03260810623
287	0.03246504364
288	0.03232539394
289	0.03204580062
290	0.03194131989
291	0.03174274131
292	0.0316147626
293	0.03149482779
294	0.03134475809
295	0.03097080746
296	0.03080843808
297	0.03077153079
298	0.03074625114
299	0.03074256694
300	0.03060635154
301	0.03037866346
302	0.03022484146
303	0.03022094322
304	0.03006110149
305	0.02986652732
306	0.02984991197
307	0.02973947577
308	0.02963833525
309	0.02960980354
310	0.0295937835
311	0.02940063532
312	0.02937205405
313	0.02930417341
314	0.02908270452
315	0.02907957019
316	0.02891725772
317	0.02888643492
318	0.02870338231
319	0.02851430092
320	0.02844589104
321	0.02830963629
322	0.02821615259
323	0.02821517343
324	0.02812235772
325	0.02789321885
326	0.02776977827
327	0.02776443113
328	0.02754763846
329	0.02749193362
330	0.02743331674
331	0.02736108479
332	0.02725131733
333	0.02703426551
334	0.02686638925
335	0.02684704236
336	0.02680694338
337	0.02676453955
338	0.0266719073
339	0.02652855263
340	0.02646989205
341	0.02647186137
342	0.02643502805
343	0.02641126125
344	0.0263134825
345	0.02611739792
346	0.02600583749
347	0.02593217192
348	0.02577415259
349	0.02577388581
350	0.02574445155
351	0.02558774912
352	0.02552044136
353	0.02546953994
354	0.02539362879
355	0.0252352823
356	0.02517037633
357	0.02513120561
358	0.02513262297
359	0.02500656919
360	0.02488624809
361	0.02475565225
362	0.0246991796
363	0.02467227303
364	0.02455769551
365	0.02446754586
366	0.02446762943
367	0.02445199546
368	0.02445053425
369	0.0243787629
370	0.02437765013
371	0.02437940652
372	0.02423581462
373	0.02418080201
374	0.02416785534
375	0.02397286979
376	0.02392130191
377	0.0238142158
378	0.02367755946
379	0.02363272653
380	0.0236388148
381	0.02349304362
382	0.02345480778
383	0.02345614611
384	0.02331874871
385	0.02317965062
386	0.02301648071
387	0.02292613269
388	0.02287165277
389	0.02283292155
390	0.02283305292
391	0.02277609785
392	0.02272974753
393	0.02266873596
394	0.02265517509
395	0.02264138398
396	0.02251536788
397	0.02247051985
398	0.02241303603
399	0.02239760603
400	0.02240230604
401	0.0224046925
402	0.0223539272
